Code du dossier étudié,Site
JM1,CHSLD2
JM2,CHSLD2
JM3,CHSLD2
JM4,CHSLD2
JM5,CHSLD2
JM6,CHSLD1
JM7,CHSLD1
JM8,CHSLD1
JM9,CHSLD1
JM10,CHSLD1
JM11,CHSLD1
JM12,CHSLD5
JM13,CHSLD5
JM14,CHSLD3
JM15,CHSLD3
JM16,CHSLD3
JM17,CHSLD3
JM18,CHSLD3
JM19,CHSLD3
JM20,CHSLD3
JM21,CHSLD3
JM22,CHSLD3
JM23,CHSLD3
JM24,CHSLD3
JM25,CHSLD3
JM26,CHSLD3
JM27,CHSLD3
JM28,CHSLD3
JM29,CHSLD3
JM30,CHSLD3
JM31,CHSLD3
JM32,CHSLD3
JM33,CHSLD3
JM34,CHSLD3
JM35,CHSLD3
JM36,CHSLD3
JM37,CHSLD3
JM38,CHSLD3
JM39,CHSLD3
JM40,CHSLD3
JM41,CHSLD3
JM42,CHSLD3
JM43,CHSLD3
JM44,CHSLD3
JM45,CHSLD7
JM46,CHSLD7
JM47,CHSLD7
JM48,CHSLD7
JM49,CHSLD7
JM50,CHSLD7
JM51,CHSLD7
JM52,CHSLD6
JM53,CHSLD4
JM54,CHSLD4
JM55,CHSLD4
JM56,CHSLD4
JM57,CHSLD4
